book_id,authors,title,genre_id,description,price,price_tag,publisher,average_rating,work_ratings_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,modified_date,deleted_date,status
16,"Stieg Larsson, Reg Keeland","The Girl with the Dragon Tattoo (Millennium, #1)",kd,Nah,68040,84000,,4,1929834,54835,86051,285413,667485,836050,https://images.gr-assets.com/books/1327868566m/2429135.jpg,12/16/2021 19:29,NULL,1
17,Suzanne Collins,"Catching Fire (The Hunger Games, #2)",kd,Nah,69420,78000,,4,1988079,10492,48030,262010,687238,980309,https://images.gr-assets.com/books/1358273780m/6148028.jpg,12/16/2021 19:29,NULL,1
18,"J.K. Rowling, Mary GrandPré, Rufus Beck","Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",kd,Nah,36000,40000,,5,1969375,6716,20413,166129,509447,1266670,https://images.gr-assets.com/books/1499277281m/5.jpg,12/16/2021 19:29,NULL,1
19,J.R.R. Tolkien,"The Fellowship of the Ring (The Lord of the Rings, #1)",tn,Nah,65700,73000,,4,1832541,38031,55862,202332,493922,1042394,https://images.gr-assets.com/books/1298411339m/34.jpg,12/16/2021 19:29,NULL,1
20,Suzanne Collins,"Mockingjay (The Hunger Games, #3)",xh,Nah,65570,79000,,4,1870749,30144,110498,373060,618271,738776,https://images.gr-assets.com/books/1358275419m/7260188.jpg,12/16/2021 19:29,NULL,1
21,"J.K. Rowling, Mary GrandPré","Harry Potter and the Order of the Phoenix (Harry Potter, #5)",kd,Nah,60680,74000,,4,1840548,9528,31577,180210,494427,1124806,https://images.gr-assets.com/books/1387141547m/2.jpg,12/16/2021 19:29,NULL,1
22,Alice Sebold,The Lovely Bones,gd,Nah,28220,34000,,4,1661562,62777,131188,404699,583575,479323,https://images.gr-assets.com/books/1457810586m/12232938.jpg,12/16/2021 19:29,NULL,1
23,"J.K. Rowling, Mary GrandPré","Harry Potter and the Chamber of Secrets (Harry Potter, #2)",tn,Nah,52200,60000,,4,1906199,8253,42251,242345,548266,1065084,https://images.gr-assets.com/books/1474169725m/15881.jpg,12/16/2021 19:29,NULL,1
24,"J.K. Rowling, Mary GrandPré","Harry Potter and the Goblet of Fire (Harry Potter, #4)",vh,Nah,92070,99000,,5,1868642,6676,20210,151785,494926,1195045,https://images.gr-assets.com/books/1361482611m/6.jpg,12/16/2021 19:29,NULL,1
25,"J.K. Rowling, Mary GrandPré","Harry Potter and the Deathly Hallows (Harry Potter, #7)",xh,Nah,68250,75000,,5,1847395,9363,22245,113646,383914,1318227,https://images.gr-assets.com/books/1474171184m/136251.jpg,12/16/2021 19:29,NULL,1
26,Dan Brown,"The Da Vinci Code (Robert Langdon, #2)",tn,Nah,39690,49000,,4,1557292,71345,126493,340790,539277,479387,https://images.gr-assets.com/books/1303252999m/968.jpg,12/16/2021 19:29,NULL,1
27,"J.K. Rowling, Mary GrandPré","Harry Potter and the Half-Blood Prince (Harry Potter, #6)",kd,Nah,50840,62000,,5,1785676,7308,21516,136333,459028,1161491,https://images.gr-assets.com/books/1361039191m/1.jpg,12/16/2021 19:29,NULL,1
28,William Golding,Lord of the Flies,tn,Nah,56420,62000,,4,1671484,92779,160295,425648,564916,427846,https://images.gr-assets.com/books/1327869409m/7624.jpg,12/16/2021 19:29,NULL,1
29,"William Shakespeare, Robert           Jackson",Romeo and Juliet,kd,Nah,75330,93000,,4,1672889,57980,153179,452673,519822,489235,https://images.gr-assets.com/books/1327872146m/18135.jpg,12/16/2021 19:29,NULL,1
30,Gillian Flynn,Gone Girl,kd,Nah,34000,40000,,4,1626519,38874,80807,280331,616031,610476,https://images.gr-assets.com/books/1339602131m/8442457.jpg,12/16/2021 19:29,NULL,1
31,Kathryn Stockett,The Help,tn,Nah,29240,34000,,4,1603545,10235,25117,134887,490754,942552,https://images.gr-assets.com/books/1346100365m/4667024.jpg,12/16/2021 19:29,NULL,1
32,John Steinbeck,Of Mice and Men,xh,Nah,71200,89000,,4,1518741,46630,110856,355169,532291,473795,https://images.gr-assets.com/books/1437235233m/890.jpg,12/16/2021 19:29,NULL,1
33,Arthur Golden,Memoirs of a Geisha,xh,Nah,32300,34000,,4,1418172,23500,59033,258700,517157,559782,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,12/16/2021 19:29,NULL,1
34,E.L. James,"Fifty Shades of Grey (Fifty Shades, #1)",kd,Nah,74620,82000,,4,1436818,165455,152293,252185,294976,571909,https://images.gr-assets.com/books/1385207843m/10818853.jpg,12/16/2021 19:29,NULL,1
35,"Paulo Coelho, Alan R. Clarke",The Alchemist,xh,Nah,60970,67000,,4,1403995,74846,123614,289143,412180,504212,https://images.gr-assets.com/books/1483412266m/865.jpg,12/16/2021 19:29,NULL,1
36,Lois Lowry,"The Giver (The Giver, #1)",kd,Nah,53550,63000,,4,1345445,26497,59652,225326,448691,585279,https://images.gr-assets.com/books/1342493368m/3636.jpg,12/16/2021 19:29,NULL,1
37,C.S. Lewis,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",kd,Nah,75600,84000,,4,1584884,19309,55542,262038,513366,734629,https://images.gr-assets.com/books/1353029077m/100915.jpg,12/16/2021 19:29,NULL,1
38,Audrey Niffenegger,The Time Traveler's Wife,kn,Nah,49800,60000,,4,1308667,44339,85429,257805,427210,493884,https://images.gr-assets.com/books/1437728815m/14050.jpg,12/16/2021 19:29,NULL,1
39,George R.R. Martin,"A Game of Thrones (A Song of Ice and Fire, #1)",gd,Nah,71200,89000,,4,1442220,19988,28983,114092,404583,874574,https://images.gr-assets.com/books/1436732693m/13496.jpg,12/16/2021 19:29,NULL,1
40,Elizabeth Gilbert,"Eat, Pray, Love",tn,Nah,85500,95000,,4,1206597,100373,149549,310212,332191,314272,https://images.gr-assets.com/books/1503066414m/19501.jpg,12/16/2021 19:29,NULL,1
41,Rick Riordan,"The Lightning Thief (Percy Jackson and the Olympians, #1)",tn,Nah,34030,41000,,4,1411114,18303,48294,219638,435514,689365,https://images.gr-assets.com/books/1400602609m/28187.jpg,12/16/2021 19:29,NULL,1
42,Louisa May Alcott,"Little Women (Little Women, #1)",kn,Nah,80190,99000,,4,1314293,31645,70011,250794,426280,535563,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,12/16/2021 19:29,NULL,1
43,"Charlotte Brontë, Michael Mason",Jane Eyre,xh,Nah,58590,63000,,4,1286135,35132,64274,212294,400214,574221,https://images.gr-assets.com/books/1327867269m/10210.jpg,12/16/2021 19:29,NULL,1
44,Nicholas Sparks,"The Notebook (The Notebook, #1)",vh,Nah,53940,58000,,4,1076749,41395,63432,176469,298259,497194,https://images.gr-assets.com/books/1385738917m/15931.jpg,12/16/2021 19:29,NULL,1
45,Yann Martel,Life of Pi,tn,Nah,63000,70000,,4,1077431,39768,74331,218702,384164,360466,https://images.gr-assets.com/books/1320562005m/4214.jpg,12/16/2021 19:29,NULL,1
46,Sara Gruen,Water for Elephants,vh,Nah,71440,76000,,4,1108839,16705,49832,200154,417328,424820,https://images.gr-assets.com/books/1494428973m/43641.jpg,12/16/2021 19:29,NULL,1
47,Markus Zusak,The Book Thief,kn,Nah,62480,71000,,4,1287798,17892,35360,135272,377218,722056,https://images.gr-assets.com/books/1390053681m/19063.jpg,12/16/2021 19:29,NULL,1
48,Ray Bradbury,Fahrenheit 451,tn,Nah,89240,97000,,4,1176240,28366,64289,238242,426292,419051,https://images.gr-assets.com/books/1351643740m/4381.jpg,12/16/2021 19:29,NULL,1
49,Stephenie Meyer,"New Moon (Twilight, #2)",kd,Nah,27520,32000,,4,1199000,102837,160660,294207,290612,350684,https://images.gr-assets.com/books/1361039440m/49041.jpg,12/16/2021 19:29,NULL,1
50,Shel Silverstein,Where the Sidewalk Ends,gd,Nah,46000,50000,,4,1023781,16590,30792,139024,293222,544153,https://images.gr-assets.com/books/1168052448m/30119.jpg,12/16/2021 19:29,NULL,1
51,Cassandra Clare,"City of Bones (The Mortal Instruments, #1)",vh,Nah,48400,55000,,4,1241799,34122,65349,203466,356048,582814,https://images.gr-assets.com/books/1432730315m/256683.jpg,12/16/2021 19:29,NULL,1
52,Stephenie Meyer,"Eclipse (Twilight, #3)",kd,Nah,80840,94000,,4,1176642,83094,124293,260763,309358,399134,https://images.gr-assets.com/books/1361038355m/428263.jpg,12/16/2021 19:29,NULL,1
53,Christopher Paolini,"Eragon (The Inheritance Cycle, #1)",xh,Nah,57120,68000,,4,1125231,50563,88536,240157,337943,408032,https://images.gr-assets.com/books/1366212852m/113436.jpg,12/16/2021 19:29,NULL,1
54,Douglas Adams,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",gd,Nah,82450,97000,,4,1006479,21764,41962,145173,299579,498001,https://images.gr-assets.com/books/1327656754m/11.jpg,12/16/2021 19:29,NULL,1
55,Aldous Huxley,Brave New World,kd,Nah,39130,43000,,4,1079135,26367,60328,219895,389379,383166,https://images.gr-assets.com/books/1487389574m/5129.jpg,12/16/2021 19:29,NULL,1
56,Stephenie Meyer,"Breaking Dawn (Twilight, #4)",kd,Nah,29440,32000,,4,1107709,100994,114893,213402,267706,410714,https://images.gr-assets.com/books/1361039438m/1162543.jpg,12/16/2021 19:29,NULL,1
57,Sue Monk Kidd,The Secret Life of Bees,kn,Nah,65860,74000,,4,937393,17500,45455,185631,347540,341267,https://images.gr-assets.com/books/1473454532m/37435.jpg,12/16/2021 19:29,NULL,1
58,"Mark Twain, John Seelye, Guy Cardwell",The Adventures of Huckleberry Finn,tn,Nah,31850,35000,,4,1001491,28467,76630,255722,344356,296316,https://images.gr-assets.com/books/1405973850m/2956.jpg,12/16/2021 19:29,NULL,1
59,"E.B. White, Garth Williams, Rosemary Wells",Charlotte's Web,kd,Nah,57600,64000,,4,1084842,18450,41124,191415,346090,487763,https://images.gr-assets.com/books/1439632243m/24178.jpg,12/16/2021 19:29,NULL,1
60,Mark Haddon,The Curious Incident of the Dog in the Night-Time,vh,Nah,37720,46000,,4,915790,21049,58117,218218,355925,262481,https://images.gr-assets.com/books/1479863624m/1618.jpg,12/16/2021 19:29,NULL,1
61,Paula Hawkins,The Girl on the Train,xh,Nah,70840,77000,,4,1226485,27773,73897,273817,488447,362551,https://images.gr-assets.com/books/1490903702m/22557272.jpg,12/16/2021 19:29,NULL,1
62,Philip Pullman,"The Golden Compass (His Dark Materials, #1)",kn,Nah,70310,79000,,4,994914,38382,64591,198764,313147,380030,https://images.gr-assets.com/books/1451271747m/119322.jpg,12/16/2021 19:29,NULL,1
63,"Emily Brontë, Richard J. Dunn",Wuthering Heights,xh,Nah,57850,65000,,4,1001135,46469,84084,215320,309180,346082,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,12/16/2021 19:29,NULL,1
64,Jodi Picoult,My Sister's Keeper,xh,Nah,45920,56000,,4,887880,17547,42763,162573,314003,350994,https://images.gr-assets.com/books/1369504683m/10917.jpg,12/16/2021 19:29,NULL,1
65,Kurt Vonnegut Jr.,Slaughterhouse-Five,kd,Nah,47200,59000,,4,891762,24964,45518,152442,300948,367890,https://images.gr-assets.com/books/1440319389m/4981.jpg,12/16/2021 19:29,NULL,1
66,Margaret Mitchell,Gone with the Wind,vh,Nah,85540,94000,,4,897303,19996,33136,116160,234290,493721,https://images.gr-assets.com/books/1328025229m/18405.jpg,12/16/2021 19:29,NULL,1
67,Khaled Hosseini,A Thousand Splendid Suns,kd,Nah,48720,56000,,4,866065,6509,18015,99030,295817,446694,https://images.gr-assets.com/books/1345958969m/128029.jpg,12/16/2021 19:29,NULL,1
68,Stephen Chbosky,The Perks of Being a Wallflower,gd,Nah,30780,38000,,4,954905,14286,38658,143440,297501,461020,https://images.gr-assets.com/books/1167352178m/22628.jpg,12/16/2021 19:29,NULL,1
69,Veronica Roth,"Insurgent (Divergent, #2)",kd,Nah,51840,64000,,4,947338,10641,44620,182131,339977,369969,https://images.gr-assets.com/books/1325667729m/11735983.jpg,12/16/2021 19:29,NULL,1
70,Orson Scott Card,"Ender's Game (Ender's Saga, #1)",kn,Nah,28560,34000,,4,873417,15330,27612,103439,264207,462829,https://images.gr-assets.com/books/1408303130m/375802.jpg,12/16/2021 19:29,NULL,1
71,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",Frankenstein,gd,Nah,72980,89000,,4,883563,29366,74142,231022,300495,248538,https://images.gr-assets.com/books/1381512375m/18490.jpg,12/16/2021 19:29,NULL,1
72,Stephen King,The Shining (The Shining #1),gd,Nah,31960,34000,,4,830881,18487,28981,123862,277393,382158,https://images.gr-assets.com/books/1353277730m/11588.jpg,12/16/2021 19:29,NULL,1
73,Stephenie Meyer,"The Host (The Host, #1)",kd,Nah,68000,85000,,4,777560,44215,62501,154906,227180,288758,https://images.gr-assets.com/books/1318009171m/1656001.jpg,12/16/2021 19:29,NULL,1
74,John Green,Looking for Alaska,kd,Nah,70550,83000,,4,831285,16940,44232,147324,262932,359857,https://images.gr-assets.com/books/1394798630m/99561.jpg,12/16/2021 19:29,NULL,1
75,Helen Fielding,"Bridget Jones's Diary (Bridget Jones, #1)",kd,Nah,54870,59000,,4,754498,28973,59309,198555,254836,212825,https://images.gr-assets.com/books/1292060045m/227443.jpg,12/16/2021 19:29,NULL,1
76,"Jane Austen, Tony Tanner, Ros Ballaster",Sense and Sensibility,xh,Nah,81700,86000,,4,779382,18430,34699,141987,272512,311754,https://images.gr-assets.com/books/1397245675m/14935.jpg,12/16/2021 19:29,NULL,1
77,"Louis Sachar, Louis Sachar","Holes (Holes, #1)",kn,Nah,70520,82000,,4,764637,15495,43786,176946,269153,259257,https://images.gr-assets.com/books/1327781893m/38709.jpg,12/16/2021 19:29,NULL,1
78,Lauren Weisberger,"The Devil Wears Prada (The Devil Wears Prada, #1)",kd,Nah,45650,55000,,4,679845,24231,58323,192366,226675,178250,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,12/16/2021 19:29,NULL,1
79,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",The Odyssey,kd,Nah,65100,70000,,4,710757,29703,65629,183082,224120,208223,https://images.gr-assets.com/books/1390173285m/1381.jpg,12/16/2021 19:29,NULL,1
80,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",The Little Prince,tn,Nah,74760,84000,,4,859286,15039,32866,114714,228440,468227,https://images.gr-assets.com/books/1367545443m/157993.jpg,12/16/2021 19:29,NULL,1
81,Jeannette Walls,The Glass Castle,kn,Nah,34400,40000,,4,637866,7901,18922,85191,227750,298102,https://images.gr-assets.com/books/1400930557m/7445.jpg,12/16/2021 19:29,NULL,1
82,Jon Krakauer,Into the Wild,xh,Nah,49200,60000,,4,665377,19229,35567,135199,248287,227095,https://images.gr-assets.com/books/1403173986m/1845.jpg,12/16/2021 19:29,NULL,1
83,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",A Tale of Two Cities,vh,Nah,71280,81000,,4,677713,28904,55555,153305,216378,223571,https://images.gr-assets.com/books/1344922523m/1953.jpg,12/16/2021 19:29,NULL,1
84,Michael Crichton,"Jurassic Park (Jurassic Park, #1)",xh,Nah,44280,54000,,4,650483,15736,34222,138327,231583,230615,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,12/16/2021 19:29,NULL,1
85,Shel Silverstein,The Giving Tree,tn,Nah,54780,66000,,4,708287,15345,20408,76071,167542,428921,https://images.gr-assets.com/books/1174210942m/370493.jpg,12/16/2021 19:29,NULL,1
86,John Grisham,A Time to Kill,tn,Nah,61600,70000,,4,608824,12106,25938,122675,218617,229488,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,12/16/2021 19:29,NULL,1
87,"Elie Wiesel, Marion Wiesel",Night (The Night Trilogy #1),tn,Nah,42930,53000,,4,707879,7761,18539,90575,230227,360777,https://images.gr-assets.com/books/1473495285m/1617.jpg,12/16/2021 19:29,NULL,1
88,John Green,Paper Towns,xh,Nah,88320,96000,,4,655271,14105,47183,154479,223895,215609,https://images.gr-assets.com/books/1349013610m/6442769.jpg,12/16/2021 19:29,NULL,1
89,William Goldman,The Princess Bride ,tn,Nah,71200,80000,,4,658042,12883,21641,89236,196047,338235,https://images.gr-assets.com/books/1327903636m/21787.jpg,12/16/2021 19:29,NULL,1
90,S.E. Hinton,The Outsiders,tn,Nah,77280,84000,,4,680437,10178,34346,134244,227250,274419,https://images.gr-assets.com/books/1442129426m/231804.jpg,12/16/2021 19:29,NULL,1
91,James Dashner,"The Maze Runner (Maze Runner, #1)",kd,Nah,64800,81000,,4,777956,15291,43370,150488,266698,302109,https://images.gr-assets.com/books/1375596592m/6186357.jpg,12/16/2021 19:29,NULL,1
92,"Steven D. Levitt, Stephen J. Dubner","Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",kd,Nah,47840,52000,,4,549301,14586,26538,115789,216316,176072,https://images.gr-assets.com/books/1327909092m/1202.jpg,12/16/2021 19:29,NULL,1
93,Frances Hodgson Burnett,The Secret Garden,vh,Nah,53690,59000,,4,692249,8005,25207,129646,243821,285570,https://images.gr-assets.com/books/1327873635m/2998.jpg,12/16/2021 19:29,NULL,1
94,"Gabriel García Márquez, Gregory Rabassa",One Hundred Years of Solitude,vh,Nah,33540,39000,,4,575667,27340,37646,87675,155809,267197,https://images.gr-assets.com/books/1327881361m/320.jpg,12/16/2021 19:29,NULL,1
95,"Oscar Wilde, Jeffrey Eugenides",The Picture of Dorian Gray,kn,Nah,54870,59000,,4,674551,9825,30735,129420,246892,257679,https://images.gr-assets.com/books/1424596966m/5297.jpg,12/16/2021 19:29,NULL,1
96,E.L. James,"Fifty Shades Freed (Fifty Shades, #3)",xh,Nah,63990,79000,,4,610116,39079,55691,109963,140304,265079,https://images.gr-assets.com/books/1336418837m/13536860.jpg,12/16/2021 19:29,NULL,1
97,"Bram Stoker, Nina Auerbach, David J. Skal",Dracula,tn,Nah,42320,46000,,4,689739,11756,36719,151396,246043,243825,https://images.gr-assets.com/books/1387151694m/17245.jpg,12/16/2021 19:29,NULL,1
98,"Stieg Larsson, Reg Keeland","The Girl Who Played with Fire (Millennium, #2)",vh,Nah,33300,37000,,4,649253,4623,15781,91021,258236,279592,https://images.gr-assets.com/books/1351778881m/5060378.jpg,12/16/2021 19:29,NULL,1
99,E.L. James,"Fifty Shades Darker (Fifty Shades, #2)",gd,Nah,80750,85000,,4,623340,37245,58935,114203,150906,262051,https://images.gr-assets.com/books/1358266080m/11857408.jpg,12/16/2021 19:29,NULL,1
100,Barbara Kingsolver,The Poisonwood Bible,gd,Nah,70680,76000,,4,562787,21699,33702,92590,175725,239071,https://images.gr-assets.com/books/1412242487m/7244.jpg,12/16/2021 19:29,NULL,1
101,David Sedaris,Me Talk Pretty One Day,kd,Nah,78120,93000,,4,514276,19718,29034,93427,178021,194076,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,12/16/2021 19:29,NULL,1
102,Maurice Sendak,Where the Wild Things Are,kd,Nah,65800,70000,,4,636061,15392,27532,93700,167043,332394,https://images.gr-assets.com/books/1384434560m/19543.jpg,12/16/2021 19:29,NULL,1
103,"Alexandre Dumas, Robin Buss",The Count of Monte Cristo,kd,Nah,38270,43000,,4,601220,10381,22482,89980,183142,295235,https://images.gr-assets.com/books/1309203605m/7126.jpg,12/16/2021 19:29,NULL,1
104,Cormac McCarthy,The Road,kd,Nah,36120,43000,,4,555787,20086,36561,100989,190823,207328,https://images.gr-assets.com/books/1439197219m/6288.jpg,12/16/2021 19:29,NULL,1
105,Veronica Roth,"Allegiant (Divergent, #3)",xh,Nah,50730,57000,,4,663226,31626,78366,176061,192785,184388,https://images.gr-assets.com/books/1395582745m/18710190.jpg,12/16/2021 19:29,NULL,1
106,Tina Fey,Bossypants,tn,Nah,48720,58000,,4,609260,14842,31761,129390,230080,203187,https://images.gr-assets.com/books/1481509554m/9418327.jpg,12/16/2021 19:29,NULL,1
107,Nicholas Sparks,A Walk to Remember,tn,Nah,77440,88000,,4,559581,10640,24094,94327,169650,260870,https://images.gr-assets.com/books/1385738968m/3473.jpg,12/16/2021 19:29,NULL,1
108,Sophie Kinsella,"Confessions of a Shopaholic (Shopaholic, #1)",xh,Nah,92120,98000,,4,558004,30705,56949,156636,166927,146787,https://images.gr-assets.com/books/1327872404m/9416.jpg,12/16/2021 19:29,NULL,1
109,"Victor Hugo, Lee Fahnestock, Norman MacAfee",Les Misérables,xh,Nah,52080,56000,,4,560132,15225,25914,87461,167385,264147,https://images.gr-assets.com/books/1411852091m/24280.jpg,12/16/2021 19:29,NULL,1
110,George R.R. Martin,"A Clash of Kings  (A Song of Ice and Fire, #2)",kn,Nah,84600,94000,,4,606765,1788,7104,56167,221706,320000,https://images.gr-assets.com/books/1358254974m/10572.jpg,12/16/2021 19:29,NULL,1
111,Kim Edwards,The Memory Keeper's Daughter,xh,Nah,57200,65000,,4,510582,19453,47004,145437,183150,115538,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,12/16/2021 19:29,NULL,1
112,Jojo Moyes,"Me Before You (Me Before You, #1)",xh,Nah,78200,85000,,4,741133,10346,21880,91517,249474,367916,https://images.gr-assets.com/books/1357108762m/15507958.jpg,12/16/2021 19:29,NULL,1
113,Joseph Heller,Catch-22,tn,Nah,48450,57000,,4,582515,20639,37912,106269,186745,230950,https://images.gr-assets.com/books/1463157317m/168668.jpg,12/16/2021 19:29,NULL,1
114,"Mitch Albom, Saulius Dagys",Tuesdays with Morrie,tn,Nah,62050,73000,,4,584397,11507,30534,107446,194448,240462,https://images.gr-assets.com/books/1423763749m/6900.jpg,12/16/2021 19:29,NULL,1
115,Jeffrey Eugenides,Middlesex,gd,Nah,86450,95000,,4,507998,19329,30503,89740,171099,197327,https://images.gr-assets.com/books/1437029776m/2187.jpg,12/16/2021 19:29,NULL,1
116,"Mark Twain, Guy Cardwell, John Seelye",The Adventures of Tom Sawyer,vh,Nah,76500,85000,,4,594226,12130,34349,143659,217896,186192,https://images.gr-assets.com/books/1404811979m/24583.jpg,12/16/2021 19:29,NULL,1
117,Madeleine L'Engle,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",kn,Nah,34020,42000,,4,650094,17313,34988,119115,209745,268933,https://images.gr-assets.com/books/1329061522m/18131.jpg,12/16/2021 19:29,NULL,1
118,Amy Tan,The Joy Luck Club,xh,Nah,53550,63000,,4,525243,14802,30197,116748,195930,167566,https://images.gr-assets.com/books/1304978653m/7763.jpg,12/16/2021 19:29,NULL,1
119,Margaret Atwood,The Handmaid's Tale,xh,Nah,81880,92000,,4,683564,13998,32561,116975,252942,267088,https://images.gr-assets.com/books/1498057733m/38447.jpg,12/16/2021 19:29,NULL,1
120,Ann Brashares,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",kd,Nah,94050,99000,,4,536604,14996,42396,152024,177404,149784,https://images.gr-assets.com/books/1461611233m/452306.jpg,12/16/2021 19:29,NULL,1
121,"Vladimir Nabokov, Craig Raine",Lolita,kd,Nah,48450,51000,,4,517990,21091,37205,108664,165477,185553,https://images.gr-assets.com/books/1377756377m/7604.jpg,12/16/2021 19:29,NULL,1
122,"Gregory Maguire, Douglas Smith","Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",xh,Nah,64860,69000,,4,525498,40802,65835,132061,153583,133217,https://images.gr-assets.com/books/1437733293m/37442.jpg,12/16/2021 19:29,NULL,1
123,John Grisham,"The Firm (Penguin Readers, Level 5)",vh,Nah,83720,92000,,4,488355,5075,20119,111543,190966,160652,https://images.gr-assets.com/books/1418465200m/5358.jpg,12/16/2021 19:29,NULL,1
124,Emma Donoghue,Room,xh,Nah,78850,83000,,4,556327,11020,26079,99831,217995,201402,https://images.gr-assets.com/books/1344265419m/7937843.jpg,12/16/2021 19:29,NULL,1
125,"William Shakespeare, Richard Andrews, Rex Gibson",Hamlet,kd,Nah,35600,40000,,4,576894,10413,32697,121040,192937,219807,https://images.gr-assets.com/books/1351051208m/1420.jpg,12/16/2021 19:29,NULL,1
